Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
2221.2,4.509e-12,,,,,7.967e-25,,,4.509e-12
2223.1,1.313e-11,,,,,5.578e-25,,,1.313e-11
2225,3.474e-11,,,,,3.563e-25,,,3.474e-11
2226.9,8.361e-11,,,,,2.075e-25,,,8.361e-11
2228.8,1.831e-10,,,,,1.101e-25,,,1.831e-10
2230.8,3.780e-10,,,,,5.112e-26,,,3.780e-10
2232.7,6.849e-10,,,,,2.240e-26,,,6.849e-10
2234.6,1.134e-9,,,,,8.935e-27,,,1.134e-9
2236.5,1.719e-9,,,,,3.254e-27,,,1.719e-9
2238.5,2.431e-9,,,,,1.048e-27,,,2.431e-9
2240.4,3.104e-9,,,,,4.357e-28,,,3.104e-9
2242.3,3.664e-9,,,,,5.033e-28,,,3.664e-9
2244.2,4.011e-9,,,,,1.237e-27,,,4.011e-9
2246.2,4.078e-9,,,,,3.377e-27,,,4.078e-9
2248.1,3.852e-9,,,,,8.087e-27,,,3.852e-9
2250,3.392e-9,,,,,1.770e-26,,,3.392e-9
2251.9,2.782e-9,,,,,3.539e-26,,,2.782e-9
2253.8,2.121e-9,,,,,6.475e-26,,,2.121e-9
2255.8,1.469e-9,,,,,1.114e-25,,,1.469e-9
2257.7,9.561e-10,,,,,1.711e-25,,,9.561e-10
2259.6,5.764e-10,,,,,2.429e-25,,,5.764e-10
2261.5,3.290e-10,,,,,3.204e-25,,,3.290e-10
2263.5,1.952e-10,,,,,3.996e-25,,,1.952e-10
2265.4,1.767e-10,,,,,4.649e-25,,1.369e-17,1.767e-10
2267.3,2.712e-10,,,,,5.151e-25,,1.655e-16,2.712e-10
2269.2,5.095e-10,,,,,5.466e-25,,1.827e-15,5.095e-10
2271.2,9.671e-10,,,,,5.557e-25,,2.075e-14,9.671e-10
2273.1,1.638e-9,,,,,5.385e-25,,1.901e-13,1.638e-9
2275,2.535e-9,,,,,4.947e-25,,1.591e-12,2.534e-9
2276.9,3.584e-9,,,,,4.274e-25,,1.215e-11,3.572e-9
2278.8,4.676e-9,,,,,3.445e-25,,8.479e-11,4.591e-9
2280.8,6.010e-9,,,,,2.531e-25,,5.940e-10,5.416e-9
2282.7,9.224e-9,,,,,1.740e-25,,3.440e-9,5.784e-9
2284.6,2.387e-8,,,,,1.102e-25,,1.819e-8,5.678e-9
2286.5,9.302e-8,,,,,6.430e-26,,8.784e-8,5.173e-9
2288.5,4.222e-7,,,,,3.363e-26,,4.178e-7,4.410e-9
2290.4,1.678e-6,,,,,1.736e-26,,1.675e-6,3.683e-9
2292.3,6.132e-6,,,,,9.612e-27,,6.129e-6,3.102e-9
2294.2,2.049e-5,,,,,7.292e-27,,2.049e-5,2.709e-9
2296.2,6.614e-5,,,,,8.518e-27,,6.614e-5,2.438e-9
2298.1,1.835e-4,,,,,1.188e-26,,1.835e-4,2.218e-9
2300,4.648e-4,,,,,1.642e-26,,4.648e-4,1.956e-9
2301.9,1.075e-3,,,,,2.119e-26,,1.075e-3,1.629e-9
2303.8,2.272e-3,,,,,2.514e-26,,2.272e-3,1.259e-9
2305.8,4.525e-3,,,,,2.735e-26,,4.525e-3,8.764e-10
2307.7,7.934e-3,,,,,2.706e-26,,7.934e-3,5.676e-10
2309.6,1.270e-2,,,,,2.449e-26,,1.270e-2,3.359e-10
2311.5,1.858e-2,,,,,2.027e-26,,1.858e-2,1.814e-10
2313.5,2.512e-2,,,,,1.510e-26,,2.512e-2,8.585e-11
2315.4,3.048e-2,,,,,1.043e-26,,3.048e-2,3.847e-11
2317.3,3.378e-2,,,,,6.601e-27,,3.378e-2,1.608e-11
2319.2,3.419e-2,,,,,3.840e-27,,3.419e-2,7.418e-12
2321.2,3.139e-2,,,,,1.993e-27,,3.139e-2,7.544e-12
2323.1,2.636e-2,,,,,9.945e-28,,2.636e-2,1.781e-11
2325,2.022e-2,,,,,4.709e-28,,2.022e-2,4.797e-11
2326.9,1.416e-2,,,,,2.171e-28,,1.416e-2,1.214e-10
2328.8,9.060e-3,,,,,1.009e-28,,9.060e-3,2.818e-10
2330.8,5.132e-3,,,,,4.837e-29,,5.132e-3,6.214e-10
2332.7,2.724e-3,,,,,3.283e-29,,2.724e-3,1.203e-9
2334.6,1.321e-3,,,,,5.289e-29,,1.321e-3,2.131e-9
2336.5,5.847e-4,,,,,1.612e-28,,5.847e-4,3.455e-9
2338.5,2.248e-4,,,,,5.697e-28,,2.248e-4,5.220e-9
2340.4,8.262e-5,,,,,1.774e-27,,8.261e-5,7.053e-9
2342.3,2.773e-5,,,,,5.085e-27,,2.772e-5,8.722e-9
2344.2,8.504e-6,,,,,1.339e-26,,8.494e-6,9.871e-9
