Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
2480,7.237e-9,,,,,2.553e-25,,,7.237e-9
2485,8.065e-9,,,,,2.119e-25,,,8.065e-9
2490,8.545e-9,,,,,1.657e-25,,,8.545e-9
2495,8.683e-9,,,,,1.226e-25,,,8.683e-9
2500,8.535e-9,,,,,9.094e-26,,,8.535e-9
2505,8.182e-9,,,,,8.631e-26,,,8.182e-9
2510,7.702e-9,,,,,1.501e-25,,,7.702e-9
2515,7.149e-9,,,,,4.015e-25,,,7.149e-9
2520,6.553e-9,,,,,1.161e-24,,,6.553e-9
2525,5.923e-9,,,,,3.214e-24,,,5.923e-9
2530,5.255e-9,,,,,8.314e-24,,,5.255e-9
2535,4.544e-9,,,,,2.000e-23,,,4.544e-9
2540,3.797e-9,,,,,4.472e-23,,,3.797e-9
2545,3.038e-9,,,,,9.292e-23,,,3.038e-9
2550,2.308e-9,,,,,1.794e-22,,,2.308e-9
2555,1.654e-9,,,,,3.217e-22,,,1.654e-9
2560,1.113e-9,,,,,5.362e-22,,,1.113e-9
2565,7.029e-10,,,,,8.306e-22,,,7.029e-10
2570,4.214e-10,,4.743e-30,,,1.196e-21,,,4.214e-10
2575,2.539e-10,,4.080e-29,,,1.599e-21,,,2.539e-10
2580,1.829e-10,,3.283e-28,,,1.989e-21,,,1.829e-10
2585,1.980e-10,,2.470e-27,,,2.298e-21,,,1.980e-10
2590,3.003e-10,,1.738e-26,,,2.469e-21,,,3.003e-10
2595,5.013e-10,,1.144e-25,,,2.467e-21,,,5.013e-10
2600,8.156e-10,2.775e-16,7.044e-25,,,2.291e-21,,,8.156e-10
2605,1.250e-9,2.293e-15,4.055e-24,,,1.979e-21,,,1.250e-9
2610,1.791e-9,1.774e-14,2.184e-23,,,1.591e-21,,,1.791e-9
2615,2.398e-9,1.286e-13,1.100e-22,,,1.192e-21,,,2.398e-9
2620,3.007e-9,8.731e-13,5.180e-22,,,8.331e-22,,,3.006e-9
2625,3.547e-9,5.552e-12,2.282e-21,,,5.477e-22,,,3.541e-9
2630,3.980e-9,3.306e-11,9.401e-21,,,3.457e-22,,,3.947e-9
2635,4.387e-9,1.844e-10,3.622e-20,,,2.222e-22,,,4.202e-9
2640,5.302e-9,9.637e-10,1.305e-19,,,1.645e-22,,,4.338e-9
2645,9.139e-9,4.716e-9,4.400e-19,,,1.585e-22,,,4.423e-9
2650,2.615e-8,2.162e-8,1.387e-18,,,1.913e-22,,,4.536e-9
2655,9.755e-8,9.281e-8,4.090e-18,,,2.511e-22,,,4.732e-9
2660,3.783e-7,3.732e-7,1.128e-17,,,3.255e-22,,,5.019e-9
2665,1.411e-6,1.406e-6,2.908e-17,,,4.013e-22,,,5.346e-9
2670,4.965e-6,4.960e-6,7.014e-17,,,4.642e-22,,,5.631e-9
2675,1.639e-5,1.639e-5,1.582e-16,,,5.018e-22,,,5.791e-9
2680,5.073e-5,5.072e-5,3.338e-16,,,5.064e-22,,,5.789e-9
2685,1.470e-4,1.470e-4,6.588e-16,,3.976e-24,4.767e-22,,,5.649e-9
2690,3.992e-4,3.992e-4,1.216e-15,,3.206e-23,4.186e-22,,,5.461e-9
2695,1.015e-3,1.015e-3,2.098e-15,,2.432e-22,3.428e-22,,,5.343e-9
2700,2.419e-3,2.419e-3,3.387e-15,,1.737e-21,2.619e-22,,,5.399e-9
2705,5.396e-3,5.396e-3,5.114e-15,,1.167e-20,1.866e-22,,,5.667e-9
2710,1.128e-2,1.128e-2,7.221e-15,,7.372e-20,1.240e-22,,,6.103e-9
2715,2.207e-2,2.207e-2,9.537e-15,,4.380e-19,7.691e-23,,,6.589e-9
2720,4.047e-2,4.047e-2,1.178e-14,,2.448e-18,4.456e-23,,,6.964e-9
2725,6.949e-2,6.949e-2,1.361e-14,,1.287e-17,2.422e-23,,,7.085e-9
2730,1.118e-1,1.118e-1,1.470e-14,,6.368e-17,1.257e-23,,,6.865e-9
2735,1.684e-1,1.684e-1,1.486e-14,,2.964e-16,6.611e-24,,,6.301e-9
2740,2.376e-1,2.376e-1,1.404e-14,,1.298e-15,4.137e-24,,,5.466e-9
2745,3.141e-1,3.141e-1,1.241e-14,,5.348e-15,3.721e-24,,,4.479e-9
2750,3.892e-1,3.892e-1,1.026e-14,,2.074e-14,4.539e-24,,,3.469e-9
2755,4.520e-1,4.520e-1,7.931e-15,,7.566e-14,6.119e-24,,,2.543e-9
2760,4.927e-1,4.927e-1,5.735e-15,,2.599e-13,8.144e-24,,,1.767e-9
2765,5.054e-1,5.054e-1,3.878e-15,,8.402e-13,1.032e-23,,4.225e-17,1.165e-9
2770,4.908e-1,4.908e-1,2.453e-15,,2.558e-12,1.234e-23,,3.202e-16,7.301e-10
2775,4.567e-1,4.567e-1,1.451e-15,,7.331e-12,1.388e-23,,2.290e-15,4.353e-10
2780,4.177e-1,4.177e-1,8.028e-16,,1.979e-11,1.469e-23,,1.546e-14,2.469e-10
2785,3.915e-1,3.915e-1,4.154e-16,,5.035e-11,1.462e-23,,9.855e-14,1.333e-10
2790,3.957e-1,3.957e-1,2.010e-16,,1.207e-10,1.370e-23,,5.928e-13,6.839e-11
2795,4.438e-1,4.438e-1,9.099e-17,,2.729e-10,1.209e-23,,3.366e-12,3.332e-11
2800,5.415e-1,5.415e-1,3.852e-17,,5.820e-10,1.007e-23,,1.804e-11,1.539e-11
2805,6.839e-1,6.839e-1,1.525e-17,,1.172e-9,7.930e-24,,9.127e-11,6.729e-12
2810,8.555e-1,8.555e-1,5.647e-18,,2.228e-9,5.947e-24,,4.358e-10,2.780e-12
2815,1.031e+0,1.031e+0,1.956e-18,,4.005e-9,4.306e-24,,1.964e-9,1.083e-12
2820,1.181e+0,1.181e+0,6.334e-19,,6.813e-9,3.098e-24,,8.356e-9,3.977e-13
2825,1.278e+0,1.278e+0,1.919e-19,,1.098e-8,2.338e-24,,3.356e-8,1.373e-13
2830,1.302e+0,1.302e+0,5.436e-20,,1.678e-8,1.988e-24,,1.272e-7,4.458e-14
2835,1.247e+0,1.247e+0,1.441e-20,,2.434e-8,1.982e-24,,4.551e-7,1.358e-14
2840,1.122e+0,1.122e+0,3.570e-21,,3.359e-8,2.242e-24,,1.537e-6,3.883e-15
2845,9.491e-1,9.491e-1,8.275e-22,,4.417e-8,2.679e-24,,4.899e-6,1.041e-15
2850,7.542e-1,7.542e-1,1.794e-22,,5.543e-8,3.197e-24,,1.474e-5,2.616e-16
2855,5.631e-1,5.631e-1,3.637e-23,,6.655e-8,3.696e-24,,4.186e-5,6.157e-17
2860,3.954e-1,3.953e-1,6.896e-24,,7.667e-8,4.077e-24,,1.122e-4,1.358e-17
2865,2.618e-1,2.615e-1,1.223e-24,,8.508e-8,4.264e-24,,2.840e-4,2.809e-18
2870,1.651e-1,1.645e-1,2.028e-25,,9.139e-8,4.215e-24,,6.783e-4,5.743e-19
2875,1.032e-1,1.017e-1,3.147e-26,,9.563e-8,3.935e-24,,1.529e-3,2.689e-19
2880,7.199e-2,6.874e-2,4.565e-27,,9.834e-8,3.469e-24,,3.255e-3,8.661e-19
2885,6.902e-2,6.249e-2,6.195e-28,,1.004e-7,2.890e-24,,6.539e-3,4.003e-18
2890,9.548e-2,8.308e-2,7.861e-29,,1.032e-7,2.280e-24,,1.240e-2,1.783e-17
2895,1.571e-1,1.349e-1,9.331e-30,,1.084e-7,1.709e-24,,2.221e-2,7.529e-17
2900,2.636e-1,2.260e-1,,,1.181e-7,1.222e-24,,3.754e-2,3.009e-16
2905,4.263e-1,3.664e-1,,,1.351e-7,8.396e-25,,5.993e-2,1.139e-15
2910,6.544e-1,5.640e-1,,,1.631e-7,5.589e-25,,9.036e-2,4.082e-15
2915,9.497e-1,8.210e-1,,,2.058e-7,3.641e-25,,1.287e-1,1.385e-14
2920,1.302e+0,1.128e+0,,,2.668e-7,2.345e-25,,1.734e-1,4.451e-14
2925,1.685e+0,1.464e+0,,,3.476e-7,1.502e-25,,2.208e-1,1.354e-13
2930,2.060e+0,1.794e+0,,,4.467e-7,9.596e-26,,2.664e-1,3.902e-13
2935,2.379e+0,2.074e+0,,,5.580e-7,6.089e-26,,3.049e-1,1.065e-12
2940,2.596e+0,2.264e+0,,,6.714e-7,3.819e-26,,3.318e-1,2.750e-12
2945,2.678e+0,2.333e+0,,,7.738e-7,2.366e-26,,3.447e-1,6.728e-12
2950,2.613e+0,2.269e+0,,,8.530e-7,1.467e-26,,3.437e-1,1.559e-11
2955,2.415e+0,2.084e+0,,,9.004e-7,9.503e-27,,3.311e-1,3.420e-11
2960,2.117e+0,1.806e+0,,,9.141e-7,6.948e-27,,3.113e-1,7.107e-11
2965,1.767e+0,1.478e+0,,,8.998e-7,6.110e-27,,2.888e-1,1.399e-10
2970,1.409e+0,1.141e+0,,,8.694e-7,6.317e-27,,2.674e-1,2.608e-10
2975,1.082e+0,8.323e-1,,,8.373e-7,7.056e-27,,2.494e-1,4.607e-10
2980,8.086e-1,5.728e-1,,,8.165e-7,7.933e-27,,2.357e-1,7.713e-10
2985,5.985e-1,3.722e-1,,,8.152e-7,8.656e-27,,2.263e-1,1.224e-9
2990,4.487e-1,2.283e-1,,,8.352e-7,9.025e-27,,2.204e-1,1.842e-9
2995,3.495e-1,1.322e-1,,,8.725e-7,8.944e-27,,2.174e-1,2.631e-9
3000,2.888e-1,7.224e-2,,,9.195e-7,8.415e-27,,2.166e-1,3.568e-9
3005,2.548e-1,3.727e-2,,,9.673e-7,7.529e-27,,2.176e-1,4.601e-9
3010,2.377e-1,1.815e-2,6.754e-30,,1.008e-6,6.435e-27,,2.196e-1,5.648e-9
3015,2.297e-1,8.345e-3,4.329e-29,,1.034e-6,5.300e-27,,2.214e-1,6.616e-9
3020,2.251e-1,3.622e-3,2.642e-28,,1.041e-6,4.276e-27,,2.215e-1,7.415e-9
3025,2.200e-1,1.484e-3,1.536e-27,,1.027e-6,3.468e-27,,2.185e-1,7.977e-9
3030,2.119e-1,5.739e-4,8.508e-27,,9.882e-7,2.919e-27,,2.113e-1,8.275e-9
3035,2.005e-1,2.095e-4,4.487e-26,,9.261e-7,2.618e-27,,2.003e-1,8.317e-9
3040,1.868e-1,7.220e-5,2.254e-25,,8.423e-7,2.509e-27,,1.867e-1,8.145e-9
3045,1.735e-1,2.350e-5,1.078e-24,,7.415e-7,2.512e-27,,1.734e-1,7.811e-9
3050,1.641e-1,7.255e-6,4.914e-24,,6.302e-7,2.547e-27,,1.641e-1,7.367e-9
3055,1.621e-1,2.250e-6,2.133e-23,,5.161e-7,2.543e-27,,1.621e-1,6.849e-9
3060,1.701e-1,1.145e-6,8.816e-23,,4.067e-7,2.459e-27,,1.701e-1,6.280e-9
3065,1.889e-1,2.111e-6,3.471e-22,,3.083e-7,2.280e-27,,1.889e-1,5.668e-9
3070,2.171e-1,6.442e-6,1.302e-21,,2.248e-7,2.018e-27,,2.171e-1,5.021e-9
3075,2.511e-1,1.991e-5,4.648e-21,,1.579e-7,1.701e-27,,2.511e-1,4.348e-9
3080,2.857e-1,5.888e-5,1.581e-20,,1.071e-7,1.365e-27,,2.856e-1,3.668e-9
3085,3.151e-1,1.658e-4,5.123e-20,,7.054e-8,1.043e-27,,3.149e-1,3.003e-9
3090,3.345e-1,4.444e-4,1.581e-19,,4.549e-8,7.614e-28,,3.340e-1,2.380e-9
3095,3.409e-1,1.134e-3,4.645e-19,,2.910e-8,5.322e-28,,3.398e-1,1.821e-9
3100,3.344e-1,2.755e-3,1.300e-18,,1.881e-8,3.582e-28,,3.317e-1,1.343e-9
3105,3.183e-1,6.372e-3,3.467e-18,,1.261e-8,2.346e-28,,3.119e-1,9.520e-10
3110,2.988e-1,1.403e-2,8.802e-18,,9.042e-9,1.525e-28,,2.847e-1,6.482e-10
3115,2.847e-1,2.941e-2,2.129e-17,,7.204e-9,1.020e-28,,2.553e-1,4.232e-10
3120,2.873e-1,5.868e-2,4.903e-17,,6.606e-9,7.455e-29,,2.286e-1,2.646e-10
3125,3.198e-1,1.115e-1,1.076e-16,,7.069e-9,6.312e-29,,2.083e-1,1.582e-10
3130,3.979e-1,2.016e-1,2.248e-16,,8.634e-9,6.254e-29,,1.963e-1,9.037e-11
3135,5.397e-1,3.470e-1,4.473e-16,,1.151e-8,6.892e-29,,1.927e-1,4.927e-11
3140,7.648e-1,5.687e-1,8.478e-16,,1.608e-8,7.916e-29,,1.961e-1,2.561e-11
3145,1.091e+0,8.872e-1,1.530e-15,,2.287e-8,9.062e-29,,2.040e-1,1.269e-11
3150,1.532e+0,1.318e+0,2.631e-15,,3.263e-8,1.010e-28,,2.138e-1,5.992e-12
3155,2.086e+0,1.863e+0,4.309e-15,,4.635e-8,1.083e-28,,2.227e-1,2.716e-12
3160,2.737e+0,2.508e+0,6.721e-15,,6.520e-8,1.112e-28,,2.286e-1,1.248e-12
3165,3.444e+0,3.214e+0,9.985e-15,,9.050e-8,1.090e-28,,2.300e-1,7.837e-13
3170,4.147e+0,3.921e+0,1.413e-14,,1.235e-7,1.020e-28,,2.260e-1,1.135e-12
3175,4.771e+0,4.554e+0,1.904e-14,,1.652e-7,9.103e-29,,2.170e-1,2.805e-12
3180,5.238e+0,5.034e+0,2.443e-14,,2.159e-7,7.745e-29,,2.037e-1,7.521e-12
3185,5.486e+0,5.299e+0,2.987e-14,,2.748e-7,6.281e-29,,1.875e-1,1.962e-11
3190,5.479e+0,5.309e+0,3.478e-14,,3.402e-7,4.857e-29,,1.703e-1,4.899e-11
3195,5.218e+0,5.064e+0,3.856e-14,,4.086e-7,3.588e-29,,1.538e-1,1.169e-10
3200,4.738e+0,4.599e+0,4.073e-14,,4.757e-7,2.552e-29,,1.398e-1,2.668e-10
